,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2022-09-15 00:00:00+00:00,5170692.66,72360.00,5098332.66,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '35720.00', 'currency': 'USD', 'instrument_id': 'NLY.SIM'}]",False,{}
2022-09-28 00:00:00+00:00,5170692.66,36640.00,5134052.66,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}]",False,{}
2022-10-04 00:00:00+00:00,5194092.66,84960.00,5109132.66,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '48320.00', 'currency': 'USD', 'instrument_id': 'FYBR.SIM'}]",False,{}
2022-10-07 00:00:00+00:00,5194092.66,36640.00,5157452.66,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}]",False,{}
2022-10-07 00:00:00+00:00,5194092.66,139786.53,5054306.13,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '103146.53', 'currency': 'USD', 'instrument_id': 'LNTH.SIM'}]",False,{}
2022-10-10 00:00:00+00:00,5188692.66,154166.53,5034526.13,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '103146.53', 'currency': 'USD', 'instrument_id': 'LNTH.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '14380.00', 'currency': 'USD', 'instrument_id': 'PAYO.SIM'}]",False,{}
2022-10-12 00:00:00+00:00,5152755.30,139786.53,5012968.77,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '103146.53', 'currency': 'USD', 'instrument_id': 'LNTH.SIM'}]",False,{}
2022-10-14 00:00:00+00:00,5152755.30,36640.00,5116115.30,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}]",False,{}
2022-10-18 00:00:00+00:00,5137846.90,138957.50,4998889.40,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102317.50', 'currency': 'USD', 'instrument_id': 'WLK.SIM'}]",False,{}
2022-10-28 00:00:00+00:00,5137846.90,36640.00,5101206.90,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}]",False,{}
2022-10-28 00:00:00+00:00,5137846.90,138661.92,4999184.98,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102021.92', 'currency': 'USD', 'instrument_id': 'ACGL.SIM'}]",False,{}
2022-10-28 00:00:00+00:00,5137846.90,144574.42,4993272.48,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102021.92', 'currency': 'USD', 'instrument_id': 'ACGL.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '42980.00', 'currency': 'USD', 'instrument_id': 'RXO.SIM'}]",False,{}
2022-11-01 00:00:00+00:00,5115511.86,181641.92,4933869.94,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102021.92', 'currency': 'USD', 'instrument_id': 'ACGL.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '42980.00', 'currency': 'USD', 'instrument_id': 'RXO.SIM'}]",False,{}
2022-11-01 00:00:00+00:00,5164139.36,79620.00,5084519.36,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '42980.00', 'currency': 'USD', 'instrument_id': 'RXO.SIM'}]",False,{}
2022-11-29 00:00:00+00:00,5164139.36,36640.00,5127499.36,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}]",False,{}
2022-12-01 00:00:00+00:00,5145500.21,139185.10,5006315.11,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102545.10', 'currency': 'USD', 'instrument_id': 'NXST.SIM'}]",False,{}
2022-12-13 00:00:00+00:00,5145500.21,36640.00,5108860.21,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}]",False,{}
2023-01-27 00:00:00+00:00,5145500.21,138804.83,5006695.38,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102164.83', 'currency': 'USD', 'instrument_id': 'FSLR.SIM'}]",False,{}
2023-01-31 00:00:00+00:00,5145500.21,201304.83,4944195.38,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102164.83', 'currency': 'USD', 'instrument_id': 'FSLR.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '62500.00', 'currency': 'USD', 'instrument_id': 'NOG.SIM'}]",False,{}
2023-02-02 00:00:00+00:00,5199900.21,224504.83,4975395.38,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102164.83', 'currency': 'USD', 'instrument_id': 'FSLR.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '62500.00', 'currency': 'USD', 'instrument_id': 'NOG.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '23200.00', 'currency': 'USD', 'instrument_id': 'CRK.SIM'}]",False,{}
2023-02-06 00:00:00+00:00,5215300.21,162004.83,5053295.38,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102164.83', 'currency': 'USD', 'instrument_id': 'FSLR.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '23200.00', 'currency': 'USD', 'instrument_id': 'CRK.SIM'}]",False,{}
2023-02-17 00:00:00+00:00,5215300.21,138804.83,5076495.38,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102164.83', 'currency': 'USD', 'instrument_id': 'FSLR.SIM'}]",False,{}
2023-02-23 00:00:00+00:00,5206509.21,240333.43,4966175.78,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102164.83', 'currency': 'USD', 'instrument_id': 'FSLR.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '101528.60', 'currency': 'USD', 'instrument_id': 'OTTR.SIM'}]",False,{}
2023-03-07 00:00:00+00:00,5206509.21,138804.83,5067704.38,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102164.83', 'currency': 'USD', 'instrument_id': 'FSLR.SIM'}]",False,{}
2023-03-07 00:00:00+00:00,5206509.21,240153.87,4966355.34,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102164.83', 'currency': 'USD', 'instrument_id': 'FSLR.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '101349.04', 'currency': 'USD', 'instrument_id': 'ALV.SIM'}]",False,{}
2023-03-07 00:00:00+00:00,5206509.21,293113.87,4913395.34,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102164.83', 'currency': 'USD', 'instrument_id': 'FSLR.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '101349.04', 'currency': 'USD', 'instrument_id': 'ALV.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '52960.00', 'currency': 'USD', 'instrument_id': 'ARMK.SIM'}]",False,{}
2023-03-07 00:00:00+00:00,5206509.21,364873.87,4841635.34,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102164.83', 'currency': 'USD', 'instrument_id': 'FSLR.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '101349.04', 'currency': 'USD', 'instrument_id': 'ALV.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '52960.00', 'currency': 'USD', 'instrument_id': 'ARMK.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '71760.00', 'currency': 'USD', 'instrument_id': 'AUB.SIM'}]",False,{}
2023-03-07 00:00:00+00:00,5206509.21,461704.24,4744804.97,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102164.83', 'currency': 'USD', 'instrument_id': 'FSLR.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '101349.04', 'currency': 'USD', 'instrument_id': 'ALV.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '52960.00', 'currency': 'USD', 'instrument_id': 'ARMK.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '71760.00', 'currency': 'USD', 'instrument_id': 'AUB.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '96830.37', 'currency': 'USD', 'instrument_id': 'HGV.SIM'}]",False,{}
